artist,track_name,region,date,streams
Ed Sheeran,Shape of You,ar,2017-01-06,57617
Ed Sheeran,Shape of You,ar,2017-01-07,51212
Ed Sheeran,Shape of You,ar,2017-01-08,47299
Ed Sheeran,Shape of You,ar,2017-01-09,58157
Ed Sheeran,Shape of You,ar,2017-01-10,56384
Ed Sheeran,Shape of You,ar,2017-01-11,59494
Ed Sheeran,Shape of You,ar,2017-01-12,59565
Ed Sheeran,Shape of You,ar,2017-01-13,64899
Ed Sheeran,Shape of You,ar,2017-01-14,71555
Ed Sheeran,Shape of You,ar,2017-01-15,62253
Ed Sheeran,Shape of You,ar,2017-01-16,79326
Ed Sheeran,Shape of You,ar,2017-01-17,83406
Ed Sheeran,Shape of You,ar,2017-01-18,88956
Ed Sheeran,Shape of You,ar,2017-01-19,85349
Ed Sheeran,Shape of You,ar,2017-01-20,85775
Ed Sheeran,Shape of You,ar,2017-01-21,80509
Ed Sheeran,Shape of You,ar,2017-01-22,72186
Ed Sheeran,Shape of You,ar,2017-01-23,88645
Ed Sheeran,Shape of You,ar,2017-01-24,94990
Ed Sheeran,Shape of You,ar,2017-01-25,98134
Ed Sheeran,Shape of You,ar,2017-01-26,100766
Ed Sheeran,Shape of You,ar,2017-01-27,108888
Ed Sheeran,Shape of You,ar,2017-01-28,101692
Ed Sheeran,Shape of You,ar,2017-01-29,88973
Ed Sheeran,Shape of You,ar,2017-01-30,106712
Ed Sheeran,Shape of You,ar,2017-01-31,109972
Ed Sheeran,Shape of You,ar,2017-02-01,119201
Ed Sheeran,Shape of You,ar,2017-02-02,122635
Ed Sheeran,Shape of You,ar,2017-02-03,126272
Ed Sheeran,Shape of You,ar,2017-02-04,118638
Ed Sheeran,Shape of You,ar,2017-02-05,101552
Ed Sheeran,Shape of You,ar,2017-02-06,121996
Ed Sheeran,Shape of You,ar,2017-02-07,134818
Ed Sheeran,Shape of You,ar,2017-02-08,142658
Ed Sheeran,Shape of You,ar,2017-02-09,140466
Ed Sheeran,Shape of You,ar,2017-02-10,141875
Ed Sheeran,Shape of You,ar,2017-02-11,138143
Ed Sheeran,Shape of You,ar,2017-02-12,119602
Ed Sheeran,Shape of You,ar,2017-02-13,142451
Ed Sheeran,Shape of You,ar,2017-02-14,148016
Ed Sheeran,Shape of You,ar,2017-02-15,154592
Ed Sheeran,Shape of You,ar,2017-02-16,153988
Ed Sheeran,Shape of You,ar,2017-02-17,161456
Ed Sheeran,Shape of You,ar,2017-02-18,154096
Ed Sheeran,Shape of You,ar,2017-02-19,143352
Ed Sheeran,Shape of You,ar,2017-02-20,154800
Ed Sheeran,Shape of You,ar,2017-02-21,151882
Ed Sheeran,Shape of You,ar,2017-02-22,163203
Ed Sheeran,Shape of You,ar,2017-02-23,160153
Ed Sheeran,Shape of You,ar,2017-02-24,166294
Ed Sheeran,Shape of You,ar,2017-02-25,162108
Ed Sheeran,Shape of You,ar,2017-02-26,141026
Ed Sheeran,Shape of You,ar,2017-02-27,137567
Ed Sheeran,Shape of You,ar,2017-02-28,150862
Ed Sheeran,Shape of You,ar,2017-03-01,168495
Ed Sheeran,Shape of You,ar,2017-03-02,166448
Ed Sheeran,Shape of You,ar,2017-03-03,202857
Ed Sheeran,Shape of You,ar,2017-03-04,193463
Ed Sheeran,Shape of You,ar,2017-03-05,176277
Ed Sheeran,Shape of You,ar,2017-03-06,184620
Ed Sheeran,Shape of You,ar,2017-03-07,184778
Ed Sheeran,Shape of You,ar,2017-03-08,185182
Ed Sheeran,Shape of You,ar,2017-03-09,179599
Ed Sheeran,Shape of You,ar,2017-03-10,185765
Ed Sheeran,Shape of You,ar,2017-03-11,185677
Ed Sheeran,Shape of You,ar,2017-03-12,162761
Ed Sheeran,Shape of You,ar,2017-03-13,169684
Ed Sheeran,Shape of You,ar,2017-03-14,180267
Ed Sheeran,Shape of You,ar,2017-03-15,180640
Ed Sheeran,Shape of You,ar,2017-03-16,179181
Ed Sheeran,Shape of You,ar,2017-03-17,189175
Ed Sheeran,Shape of You,ar,2017-03-18,197872
Ed Sheeran,Shape of You,ar,2017-03-19,172460
Ed Sheeran,Shape of You,ar,2017-03-20,176204
Ed Sheeran,Shape of You,ar,2017-03-21,184762
Ed Sheeran,Shape of You,ar,2017-03-22,187927
Ed Sheeran,Shape of You,ar,2017-03-23,189468
Ed Sheeran,Shape of You,ar,2017-03-24,190227
Ed Sheeran,Shape of You,ar,2017-03-25,190799
Ed Sheeran,Shape of You,ar,2017-03-26,161444
Ed Sheeran,Shape of You,ar,2017-03-27,172896
Ed Sheeran,Shape of You,ar,2017-03-28,170936
Ed Sheeran,Shape of You,ar,2017-03-29,179601
Ed Sheeran,Shape of You,ar,2017-03-30,174353
Ed Sheeran,Shape of You,ar,2017-03-31,180176
Ed Sheeran,Shape of You,ar,2017-04-01,185567
Ed Sheeran,Shape of You,ar,2017-04-02,156030
Ed Sheeran,Shape of You,ar,2017-04-03,166830
Ed Sheeran,Shape of You,ar,2017-04-04,169141
Ed Sheeran,Shape of You,ar,2017-04-05,170489
Ed Sheeran,Shape of You,ar,2017-04-06,168916
Ed Sheeran,Shape of You,ar,2017-04-07,178628
Ed Sheeran,Shape of You,ar,2017-04-08,173686
Ed Sheeran,Shape of You,ar,2017-04-09,147299
Ed Sheeran,Shape of You,ar,2017-04-10,155726
Ed Sheeran,Shape of You,ar,2017-04-11,164940
Ed Sheeran,Shape of You,ar,2017-04-12,171491
Ed Sheeran,Shape of You,ar,2017-04-13,184381
Ed Sheeran,Shape of You,ar,2017-04-14,164656
Ed Sheeran,Shape of You,ar,2017-04-15,165094
Ed Sheeran,Shape of You,ar,2017-04-16,151553
Ed Sheeran,Shape of You,ar,2017-04-17,162412
