artist,track_name,region,date,streams
Logic,1-800-273-8255,global,2017-04-28,897113
Logic,1-800-273-8255,global,2017-04-29,743231
Logic,1-800-273-8255,global,2017-04-30,597347
Logic,1-800-273-8255,global,2017-05-01,772623
Logic,1-800-273-8255,global,2017-05-02,800192
Logic,1-800-273-8255,global,2017-05-03,786341
Logic,1-800-273-8255,global,2017-05-04,789949
Logic,1-800-273-8255,global,2017-05-05,1654417
Logic,1-800-273-8255,global,2017-05-06,1692063
Logic,1-800-273-8255,global,2017-05-07,1564483
Logic,1-800-273-8255,global,2017-05-08,1928830
Logic,1-800-273-8255,global,2017-05-09,1986668
Logic,1-800-273-8255,global,2017-05-10,1986626
Logic,1-800-273-8255,global,2017-05-11,1945875
Logic,1-800-273-8255,global,2017-05-12,1875004
Logic,1-800-273-8255,global,2017-05-13,1629615
Logic,1-800-273-8255,global,2017-05-14,1471994
Logic,1-800-273-8255,global,2017-05-15,1769883
Logic,1-800-273-8255,global,2017-05-16,1842268
Logic,1-800-273-8255,global,2017-05-17,1835010
Logic,1-800-273-8255,global,2017-05-18,1969035
Logic,1-800-273-8255,global,2017-05-19,2015436
Logic,1-800-273-8255,global,2017-05-20,1860854
Logic,1-800-273-8255,global,2017-05-21,1746404
Logic,1-800-273-8255,global,2017-05-22,1945582
Logic,1-800-273-8255,global,2017-05-23,1990070
Logic,1-800-273-8255,global,2017-05-24,2045199
Logic,1-800-273-8255,global,2017-05-25,2092008
Logic,1-800-273-8255,global,2017-05-26,1997683
Logic,1-800-273-8255,global,2017-05-27,1810046
Logic,1-800-273-8255,global,2017-05-28,1611038
Logic,1-800-273-8255,global,2017-05-29,1692658
Logic,1-800-273-8255,global,2017-06-01,1844831
Logic,1-800-273-8255,global,2017-06-03,1602419
Logic,1-800-273-8255,global,2017-06-04,1456815
Logic,1-800-273-8255,global,2017-06-05,1614018
Logic,1-800-273-8255,global,2017-06-06,1662109
Logic,1-800-273-8255,global,2017-06-07,1671668
Logic,1-800-273-8255,global,2017-06-08,1652015
Logic,1-800-273-8255,global,2017-06-09,1642538
Logic,1-800-273-8255,global,2017-06-10,1562527
Logic,1-800-273-8255,global,2017-06-11,1455617
Logic,1-800-273-8255,global,2017-06-12,1608889
Logic,1-800-273-8255,global,2017-06-13,1630343
Logic,1-800-273-8255,global,2017-06-14,1651708
Logic,1-800-273-8255,global,2017-06-15,1617738
Logic,1-800-273-8255,global,2017-06-16,1568459
Logic,1-800-273-8255,global,2017-06-17,1478505
Logic,1-800-273-8255,global,2017-06-18,1353568
Logic,1-800-273-8255,global,2017-06-19,1512151
Logic,1-800-273-8255,global,2017-06-20,1543979
Logic,1-800-273-8255,global,2017-06-21,1519429
Logic,1-800-273-8255,global,2017-06-22,1509580
Logic,1-800-273-8255,global,2017-06-23,1463659
Logic,1-800-273-8255,global,2017-06-24,1355291
Logic,1-800-273-8255,global,2017-06-25,1237641
Logic,1-800-273-8255,global,2017-06-26,1398569
Logic,1-800-273-8255,global,2017-06-27,1407280
Logic,1-800-273-8255,global,2017-06-28,1399812
Logic,1-800-273-8255,global,2017-06-29,1405697
Logic,1-800-273-8255,global,2017-06-30,1405612
Logic,1-800-273-8255,global,2017-07-01,1313903
Logic,1-800-273-8255,global,2017-07-02,1185786
Logic,1-800-273-8255,global,2017-07-03,1298190
Logic,1-800-273-8255,global,2017-07-04,1255535
Logic,1-800-273-8255,global,2017-07-05,1276469
Logic,1-800-273-8255,global,2017-07-06,1320787
Logic,1-800-273-8255,global,2017-07-07,1312702
Logic,1-800-273-8255,global,2017-07-08,1166251
Logic,1-800-273-8255,global,2017-07-09,1050483
Logic,1-800-273-8255,global,2017-07-10,1154715
Logic,1-800-273-8255,global,2017-07-11,1161384
Logic,1-800-273-8255,global,2017-07-12,1159872
Logic,1-800-273-8255,global,2017-07-13,1160666
Logic,1-800-273-8255,global,2017-07-14,1154276
Logic,1-800-273-8255,global,2017-07-15,1097575
Logic,1-800-273-8255,global,2017-07-16,1011175
Logic,1-800-273-8255,global,2017-07-17,1106013
Logic,1-800-273-8255,global,2017-07-18,1105775
Logic,1-800-273-8255,global,2017-07-19,1099353
Logic,1-800-273-8255,global,2017-07-20,1089423
Logic,1-800-273-8255,global,2017-07-21,1072917
Logic,1-800-273-8255,global,2017-07-22,1001627
Logic,1-800-273-8255,global,2017-07-23,922006
Logic,1-800-273-8255,global,2017-07-24,1018482
Logic,1-800-273-8255,global,2017-07-25,1036156
Logic,1-800-273-8255,global,2017-07-26,1044460
Logic,1-800-273-8255,global,2017-07-27,1045877
Logic,1-800-273-8255,global,2017-07-28,1054070
Logic,1-800-273-8255,global,2017-07-29,995040
Logic,1-800-273-8255,global,2017-07-30,929820
Logic,1-800-273-8255,global,2017-07-31,1021974
Logic,1-800-273-8255,global,2017-08-01,1014202
Logic,1-800-273-8255,global,2017-08-02,1015218
Logic,1-800-273-8255,global,2017-08-03,990488
Logic,1-800-273-8255,global,2017-08-04,973127
Logic,1-800-273-8255,global,2017-08-05,911936
Logic,1-800-273-8255,global,2017-08-06,850899
Logic,1-800-273-8255,global,2017-08-07,925330
Logic,1-800-273-8255,global,2017-08-08,938308
Logic,1-800-273-8255,global,2017-08-09,959501
Logic,1-800-273-8255,global,2017-08-10,957745
Logic,1-800-273-8255,global,2017-08-11,944915
Logic,1-800-273-8255,global,2017-08-12,880613
Logic,1-800-273-8255,global,2017-08-13,833123
Logic,1-800-273-8255,global,2017-08-14,910454
Logic,1-800-273-8255,global,2017-08-15,915756
Logic,1-800-273-8255,global,2017-08-16,933900
Logic,1-800-273-8255,global,2017-08-17,961557
Logic,1-800-273-8255,global,2017-08-18,1046940
Logic,1-800-273-8255,global,2017-08-19,1046585
Logic,1-800-273-8255,global,2017-08-20,1052518
Logic,1-800-273-8255,global,2017-08-21,1151814
Logic,1-800-273-8255,global,2017-08-22,1205575
Logic,1-800-273-8255,global,2017-08-23,1228987
Logic,1-800-273-8255,global,2017-08-24,1262342
Logic,1-800-273-8255,global,2017-08-25,1308147
Logic,1-800-273-8255,global,2017-08-26,1311463
Logic,1-800-273-8255,global,2017-08-27,1251018
Logic,1-800-273-8255,global,2017-08-28,1887896
Logic,1-800-273-8255,global,2017-08-29,2157801
Logic,1-800-273-8255,global,2017-08-30,2269638
Logic,1-800-273-8255,global,2017-08-31,2307695
Logic,1-800-273-8255,global,2017-09-01,2460604
Logic,1-800-273-8255,global,2017-09-02,2392955
Logic,1-800-273-8255,global,2017-09-03,2317037
Logic,1-800-273-8255,global,2017-09-04,2589917
Logic,1-800-273-8255,global,2017-09-05,2742450
Logic,1-800-273-8255,global,2017-09-06,2826987
Logic,1-800-273-8255,global,2017-09-07,2914911
Logic,1-800-273-8255,global,2017-09-08,3145467
Logic,1-800-273-8255,global,2017-09-09,3017947
Logic,1-800-273-8255,global,2017-09-10,2870322
Logic,1-800-273-8255,global,2017-09-11,3137785
Logic,1-800-273-8255,global,2017-09-12,3240457
Logic,1-800-273-8255,global,2017-09-13,3293302
Logic,1-800-273-8255,global,2017-09-14,3363701
Logic,1-800-273-8255,global,2017-09-15,3457993
Logic,1-800-273-8255,global,2017-09-16,3257787
Logic,1-800-273-8255,global,2017-09-17,2982167
Logic,1-800-273-8255,global,2017-09-18,3324702
Logic,1-800-273-8255,global,2017-09-19,3332979
Logic,1-800-273-8255,global,2017-09-20,3364517
Logic,1-800-273-8255,global,2017-09-21,3434758
Logic,1-800-273-8255,global,2017-09-22,3458946
Logic,1-800-273-8255,global,2017-09-23,3206319
Logic,1-800-273-8255,global,2017-09-24,2946762
Logic,1-800-273-8255,global,2017-09-25,3235637
Logic,1-800-273-8255,global,2017-09-26,3263571
Logic,1-800-273-8255,global,2017-09-27,3309270
Logic,1-800-273-8255,global,2017-09-28,3288994
Logic,1-800-273-8255,global,2017-09-29,3361759
Logic,1-800-273-8255,global,2017-09-30,3034205
Logic,1-800-273-8255,global,2017-10-01,2749534
Logic,1-800-273-8255,global,2017-10-02,3053131
Logic,1-800-273-8255,global,2017-10-03,3061029
Logic,1-800-273-8255,global,2017-10-04,3047945
Logic,1-800-273-8255,global,2017-10-05,3062841
Logic,1-800-273-8255,global,2017-10-06,3183387
Logic,1-800-273-8255,global,2017-10-07,2977227
Logic,1-800-273-8255,global,2017-10-08,2714103
Logic,1-800-273-8255,global,2017-10-09,2925354
Logic,1-800-273-8255,global,2017-10-10,2990795
Logic,1-800-273-8255,global,2017-10-11,3002226
Logic,1-800-273-8255,global,2017-10-12,3016645
Logic,1-800-273-8255,global,2017-10-13,3339004
Logic,1-800-273-8255,global,2017-10-14,3065363
Logic,1-800-273-8255,global,2017-10-15,2788242
Logic,1-800-273-8255,global,2017-10-16,3016172
Logic,1-800-273-8255,global,2017-10-17,2950617
Logic,1-800-273-8255,global,2017-10-18,2962585
Logic,1-800-273-8255,global,2017-10-19,2984242
Logic,1-800-273-8255,global,2017-10-20,3055441
Logic,1-800-273-8255,global,2017-10-21,2834839
Logic,1-800-273-8255,global,2017-10-22,2550578
Logic,1-800-273-8255,global,2017-10-23,2779265
Logic,1-800-273-8255,global,2017-10-24,2823232
Logic,1-800-273-8255,global,2017-10-25,2842194
Logic,1-800-273-8255,global,2017-10-26,2832041
Logic,1-800-273-8255,global,2017-10-27,2869051
Logic,1-800-273-8255,global,2017-10-28,2609687
Logic,1-800-273-8255,global,2017-10-29,2380095
Logic,1-800-273-8255,global,2017-10-30,2590838
Logic,1-800-273-8255,global,2017-10-31,2574001
Logic,1-800-273-8255,global,2017-11-01,2526260
Logic,1-800-273-8255,global,2017-11-02,2595704
Logic,1-800-273-8255,global,2017-11-03,2632449
Logic,1-800-273-8255,global,2017-11-04,2443769
Logic,1-800-273-8255,global,2017-11-05,2223469
Logic,1-800-273-8255,global,2017-11-06,2392262
Logic,1-800-273-8255,global,2017-11-07,2464681
Logic,1-800-273-8255,global,2017-11-08,2481757
Logic,1-800-273-8255,global,2017-11-09,2479703
Logic,1-800-273-8255,global,2017-11-10,2559856
Logic,1-800-273-8255,global,2017-11-11,2426483
Logic,1-800-273-8255,global,2017-11-12,2172794
Logic,1-800-273-8255,global,2017-11-13,2298147
Logic,1-800-273-8255,global,2017-11-14,2348455
Logic,1-800-273-8255,global,2017-11-15,2361442
Logic,1-800-273-8255,global,2017-11-16,2352915
Logic,1-800-273-8255,global,2017-11-17,2424664
Logic,1-800-273-8255,global,2017-11-18,2292423
Logic,1-800-273-8255,global,2017-11-19,2062481
Logic,1-800-273-8255,global,2017-11-20,2169641
Logic,1-800-273-8255,global,2017-11-21,2247964
Logic,1-800-273-8255,global,2017-11-22,2269725
Logic,1-800-273-8255,global,2017-11-23,2062312
Logic,1-800-273-8255,global,2017-11-24,1991113
Logic,1-800-273-8255,global,2017-11-25,1951672
Logic,1-800-273-8255,global,2017-11-26,1792206
Logic,1-800-273-8255,global,2017-11-27,1871085
Logic,1-800-273-8255,global,2017-11-28,1912910
Logic,1-800-273-8255,global,2017-11-29,1943332
Logic,1-800-273-8255,global,2017-11-30,1920852
Logic,1-800-273-8255,global,2017-12-01,1955143
Logic,1-800-273-8255,global,2017-12-02,1798535
Logic,1-800-273-8255,global,2017-12-03,1622496
Logic,1-800-273-8255,global,2017-12-04,1714269
Logic,1-800-273-8255,global,2017-12-05,1755390
Logic,1-800-273-8255,global,2017-12-06,1762406
Logic,1-800-273-8255,global,2017-12-07,1796949
Logic,1-800-273-8255,global,2017-12-08,1794480
