tree_id,block_id,species_group,latitude,longitude,health,tree_dbh,stump_diam,curb_loc,steward,sidewalk,address,zipcode,boroname,nta,nta_name
365757,102878,Other,40.72127573,-73.98270648,Good,12,0,OnCurb,None,NoDamage,229 EAST 2 STREET,10009,Manhattan,MN28,Lower East Side
101366,100497,Callery pear,40.7148616,-74.00477425,Good,6,0,OnCurb,1or2,NoDamage,290 BROADWAY,10007,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
417933,103333,ginkgo,40.72439407,-73.97391269,Fair,2,0,OnCurb,1or2,NoDamage,10-17 F D R DRIVE,10009,Manhattan,MN28,Lower East Side
103244,103112,pin oak,40.72647379,-73.9833363,Good,20,0,OnCurb,None,Damage,121 AVENUE A,10009,Manhattan,MN22,East Village
74474,105338,Callery pear,40.73615944,-73.98638686,Good,11,0,OnCurb,1or2,NoDamage,130 EAST 18 STREET,10003,Manhattan,MN21,Gramercy
145112,101091,Callery pear,40.71976749,-73.99706864,Good,6,0,OnCurb,None,Damage,166 MULBERRY STREET,10013,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
271336,101275,Other,40.72430617,-74.00203582,Fair,4,0,OnCurb,None,NoDamage,399 WEST BROADWAY,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
34207,101569,honeylocust,40.72833187,-74.00195772,Good,4,0,OnCurb,None,NoDamage,70 MAC DOUGAL STREET,10012,Manhattan,MN23,West Village
72636,102700,Other,40.71660822,-73.98859257,Good,6,0,OnCurb,None,NoDamage,372 GRAND STREET,10002,Manhattan,MN27,Chinatown
174538,217633,Sophora,40.71123239,-73.96643842,Good,4,0,OnCurb,None,NoDamage,395 WYTHE AVENUE,11249,Brooklyn,BK73,North Side-South Side
25295,104246,littleleaf linden,40.73774928,-73.99353837,Good,10,0,OnCurb,None,Damage,7 WEST 16 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
